2026-06-12 10:22:49,640 - main - INFO - === Logging system initialized ===
2026-06-12 10:22:49,640 - main - INFO - Log file: logs/app_20260612_102249.log
2026-06-12 10:22:49,640 - main - INFO - Log level: INFO
2026-06-12 10:22:49,641 - main - INFO - Timestamp: 20260612_102249
2026-06-12 10:22:50,554 - main - INFO - Included router: routers.aihub.router
2026-06-12 10:22:50,573 - main - INFO - Included router: routers.analysis.router
2026-06-12 10:22:50,585 - main - INFO - Included router: routers.auth.router
2026-06-12 10:22:50,633 - main - INFO - Included router: routers.doctor_patients.router
2026-06-12 10:22:50,635 - main - INFO - Included router: routers.health.router
2026-06-12 10:22:50,650 - main - INFO - Included router: routers.invite.router
2026-06-12 10:22:50,666 - main - INFO - Included router: routers.reports.router
2026-06-12 10:22:50,690 - main - INFO - Included router: routers.settings.router
2026-06-12 10:22:50,733 - main - INFO - Included router: routers.storage.router
2026-06-12 10:22:50,743 - main - INFO - Included router: routers.user.router
2026-06-12 10:22:50,789 - main - INFO - Included router: routers.users_profiles.router
2026-06-12 10:23:30,852 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
2026-06-12 10:23:31,203 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
2026-06-12 10:23:31,553 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
2026-06-12 10:23:31,904 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
2026-06-12 10:23:32,255 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
2026-06-12 10:23:32,606 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
2026-06-12 10:23:32,957 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
2026-06-12 10:23:33,308 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
2026-06-12 10:23:33,659 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
2026-06-12 10:23:34,010 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260612_102249.log')}
